region,difficulty,investor,scenario,strategy,seed,day,gameState,cash,loan,creditLimit,creditUsage,maxCreditUsage,minCash,minTrust,minCsi,maxInventoryAndTransit,monthEndCount,netAssets,inventory,pendingOrders,soldVehicles,csi,trust,badReviews,defaultedDrafts,endingRank,bankruptcy,dismissed,won,months
"capital","rookie","cash_guardian","star12","balanced",2,360,"won",12388950.679600002,6033815,17907921,0.3369355381900557,0.5244089736319796,3141317.5515999994,72,89.35000000000001,21,11,13636058.079599999,21,0,215,99,100,0,0,"regional_star",false,false,true,12
"capital","rookie","cash_guardian","star12","aggressive",1,360,"won",25318675.155400004,1980000,26524251,0.0746486677418337,0.714205855573424,3007171.1038000006,72,91.68571428571417,30,11,34622836.75540001,30,0,462,96.36857142857085,100,0,0,"regional_star",false,false,true,12
"capital","rookie","cash_guardian","star12","aggressive",2,301,"dismissed",26684817.06239989,4807332,14770615,0.32546593354440556,0.5886771032588357,3461669.9202000014,44,91.89428571428486,30,10,27602843.46239989,19,0,331,100,44,3,0,"",false,true,false,11
"capital","rookie","volume_growth","survive6","conservative",1,180,"won",5536200.127400021,1206000,14040078,0.08589695869210982,0.2799824443440303,3435953.927000003,50,92.29999999999983,8,5,5869032.127400021,4,0,40,94.59999999999982,64,0,0,"excellent",false,false,true,6
"capital","rookie","volume_growth","survive6","conservative",2,180,"won",6470283.306200005,2922024,15642924,0.18679525643671221,0.28946095681538564,3569958.3758,50,87.19999999999993,9,5,6867784.106200006,9,0,54,95.02857142857134,98,0,0,"regional_star",false,false,true,6
"capital","rookie","volume_growth","survive6","balanced",1,180,"won",12972735.832800006,1143032,19784942,0.05777282541439849,0.3247871623084744,3419017.4196,72,97,16,5,13934439.832800006,0,8,179,97,100,0,0,"regional_star",false,false,true,6
"capital","rookie","volume_growth","survive6","balanced",2,180,"won",7658083.846600026,6159192,9450363,0.651741314063809,0.651741314063809,3240980.8344000014,48,89.30000000000001,18,5,4171891.846600026,9,1,41,95.1514285714289,48,2,0,"renewed",false,false,true,6
"capital","rookie","volume_growth","survive6","aggressive",1,180,"won",8409597.056800002,6315312,21594514,0.2924498323972468,0.6976322355135512,2913408.7218000013,72,91.82857142857108,30,5,10839844.256800003,23,6,194,95.30857142857096,100,0,0,"regional_star",false,false,true,6
"capital","rookie","volume_growth","survive6","aggressive",2,180,"won",8099565.0324000055,5149611,13256977,0.3884453446664349,0.5147885186999394,3451399.520800001,72,92.15428571428534,30,5,9944322.832400005,22,0,135,93.62285714285676,100,0,0,"excellent",false,false,true,6
"capital","rookie","volume_growth","double12","conservative",1,301,"dismissed",8683769.374999948,2362230,10342357,0.22840344807281357,0.2737148416166029,3627865.2879999937,34,90.94285714285695,8,10,7837803.374999948,5,0,62,95.04285714285685,34,3,0,"",false,true,false,11
"capital","rookie","volume_growth","double12","conservative",2,360,"won",10353645.584800001,4565000,10785071,0.4232702779610816,0.4232702779610816,3448852.7604,32,91.17999999999975,8,11,7867645.584800001,7,0,50,95.07999999999971,32,2,0,"regional_star",false,false,true,12
"capital","rookie","volume_growth","double12","balanced",1,271,"dismissed",18434343.778999925,4724041,13984023,0.33781702161101995,0.35151554791712847,3376213.5028000027,64,91.28285714285727,17,9,18759302.778999925,17,0,157,96,64,3,0,"",false,true,false,10
"capital","rookie","volume_growth","double12","balanced",2,181,"dismissed",6825982.1940000225,5047794,10849765,0.4652445467712895,0.5167227223144881,3809313.5584000014,54,88.79142857142872,20,6,7718188.1940000225,20,0,60,95.19714285714312,54,3,0,"",false,true,false,7
"capital","rookie","volume_growth","double12","aggressive",1,241,"dismissed",16644641.25819998,6906222,12300731,0.5614480960521777,0.6329458917394877,3095518.1426,30,87.68285714285702,30,8,12411419.258199982,9,0,177,100,30,3,0,"",false,true,false,9
"capital","rookie","volume_growth","double12","aggressive",2,301,"dismissed",11607685.0398,8118717,11061640,0.733952379574819,0.7668937641778512,2728148.975,30,91.602857142857,30,10,7943968.039799999,15,0,196,98.15999999999953,30,3,0,"",false,true,false,11
"capital","rookie","volume_growth","star12","conservative",1,181,"dismissed",3939540.4406000166,2015361,9175277,0.21965124322677124,0.2804443754823183,3166879.0108000003,1,92.09999999999994,8,6,4003179.440600017,7,0,15,95.29999999999993,1,3,0,"",false,true,false,7
"capital","rookie","volume_growth","star12","conservative",2,211,"dismissed",6390120.984400002,2270000,9778120,0.23215096562529403,0.2822662497489615,3476545.039400002,33,91.62285714285704,8,7,6199120.984400002,7,0,32,95.02285714285706,33,3,0,"",false,true,false,8
"capital","rookie","volume_growth","star12","balanced",1,271,"dismissed",14986802.508400008,6812396,11892903,0.5728118693980772,0.590305463586847,3353104.4828,34,89.50000000000014,23,9,14114406.508400008,20,0,156,95.20000000000009,34,3,0,"",false,true,false,10
"capital","rookie","volume_growth","star12","balanced",2,360,"won",30254786.153200034,5357743,24510904,0.21858610355619687,0.284408046875,3215526.569000001,72,90.7028571428575,21,11,31826659.15320003,18,3,324,96.55285714285785,100,0,0,"regional_star",false,false,true,12
"capital","rookie","volume_growth","star12","aggressive",1,301,"dismissed",13254629.920999918,2405963,11497145,0.2092661265035798,0.5144661321926921,3118211.2831999995,34,91.83428571428526,30,10,17382666.920999918,22,0,232,100,34,3,0,"",false,true,false,11
"capital","rookie","volume_growth","star12","aggressive",2,360,"won",39587883.89120001,1603000,28496990,0.056251554988790045,0.5023884404119112,2729363.8723999993,72,91.61142857142848,30,11,46776972.69120001,22,6,539,96.37428571428488,100,0,0,"regional_star",false,false,true,12
"capital","rookie","roi_first","survive6","conservative",1,151,"dismissed",4231402.285000008,3895025,9247074,0.4212170249746028,0.4339959854236225,3084826.4050000054,0,89.55714285714286,8,5,2415377.2850000076,7,0,3,95.10000000000007,0,3,0,"",false,true,false,6
"capital","rookie","roi_first","survive6","conservative",2,180,"won",4020769.222800016,3407824,9187541,0.37091796379466496,0.37091796379466496,3070764.898000007,26,90.74571428571429,8,5,2724572.4228000166,7,0,8,95.24571428571429,26,2,0,"renewed",false,false,true,6
"capital","rookie","roi_first","survive6","balanced",1,180,"won",13848425.591400003,1168336,19268899,0.06063325154177206,0.32548498018295474,3486637.079199998,72,91.46571428571428,16,5,14432989.591400003,0,8,178,98.27571428571487,100,0,0,"regional_star",false,false,true,6
