region,difficulty,investor,scenario,strategy,seed,day,gameState,cash,loan,creditLimit,creditUsage,netAssets,inventory,pendingOrders,soldVehicles,csi,trust,badReviews,defaultedDrafts,endingRank,bankruptcy,dismissed,won,months
"low_comp","rookie","cash_guardian","double12","balanced",6,331,"dismissed",9039548.57520002,6755245,10429878,0.6476820725995069,5254303.575200019,10,0,74,95.1285714285716,34,3,0,"",false,true,false,12
"low_comp","rookie","cash_guardian","double12","balanced",7,271,"dismissed",15293286.234999914,6773572,11968298,0.5659595040163605,15647714.234999914,24,0,172,94.59999999999994,34,3,0,"",false,true,false,10
"low_comp","rookie","cash_guardian","double12","balanced",8,360,"won",25219514.43900001,5610000,15708152,0.35713940124847277,28553226.43900001,28,0,282,99,88,1,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","double12","aggressive",1,91,"bankrupt",4180095.228000002,10266355,10173387,1.0091383528415856,3166399.4280000012,28,1,61,96.83428571428556,74,1,0,"",true,false,false,4
"low_comp","rookie","cash_guardian","double12","aggressive",2,181,"dismissed",9538598.330199977,7250128,10552645,0.687043674832234,5555470.330199977,11,2,76,97.22285714285711,34,3,0,"",false,true,false,7
"low_comp","rookie","cash_guardian","double12","aggressive",3,360,"won",40646397.605999954,0,29565214,0,47799000.80599996,16,6,573,95.4028571428563,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","double12","aggressive",4,360,"won",14201823.598599995,2741672,19652514,0.1395074441875477,20440495.598599993,26,0,241,91.05428571428524,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","double12","aggressive",5,360,"won",42367375.68280003,8480264,18442576,0.4598199297104699,42797111.68280003,30,0,485,99.18571428571366,78,1,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","double12","aggressive",6,360,"won",18545208.41920003,4502217,25158523,0.17895394733625658,22816324.21920003,22,6,347,96.099999999999,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","double12","aggressive",7,360,"won",31437878.21459995,1621072,26435471,0.061321850478850935,39086624.61459995,26,0,485,96.06571428571328,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","double12","aggressive",8,360,"won",19375497.817600146,7713270,14241199,0.5416166152863955,16117227.817600146,15,0,214,100,41,1,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","star12","conservative",1,360,"won",11629005.87099997,4759380,13441167,0.35408978997136187,8948625.87099997,7,0,52,95.14571428571415,100,0,0,"regional_star",false,false,true,12
"low_comp","rookie","cash_guardian","star12","conservative",2,360,"won",13142449.275600003,4220000,13244509,0.3186226080559121,10407449.275600003,5,0,72,95.42285714285674,96,0,0,"regional_star",false,false,true,12
