region,difficulty,scenario,strategy,samples,winRate,bankruptcyRate,dismissalRate,avgNetAssets,avgCash,avgLoan,avgCreditUsage,avgMaxCreditUsage,avgMinCash,avgMinTrust,avgMinCsi,avgMaxInventoryAndTransit,avgSales,avgInventory,avgCsi,avgTrust
"tier1","rookie","star12","aggressive",10,0,0.4,0.6,8742319.296179999,9555347.496180002,8600246.2,0.8070473851888158,0.8855364396444617,2858423.2464199997,47.8,91.41257142857121,29.1,143.8,24.1,97.61514285714266,50
"tier1","rookie","star12","balanced",10,0.3,0,0.7,14541293.220379975,15490940.700379977,6303005.4,0.5099037983718571,0.557997904329395,3338485.37704,44.5,88.92000000000019,23.7,154.3,18,94.9504285714287,44.7
"tier1","rookie","star12","conservative",10,0.1,0,0.9,4198817.121600004,4861642.781600005,2699493.5,0.2677341597596884,0.30991564266464916,3219900.389439999,25.5,89.99599999999997,8.1,19.5,6.8,94.17714285714281,29.9
"capital","standard","star12","aggressive",10,0.3,0,0.7,14304616.655960018,14483591.45596002,6914251.6,0.5859756591103813,0.7641127294043096,1993195.5384200003,45.8,89.34399999999997,29.9,223.4,22.1,97.97914285714252,48.6
"capital","standard","star12","balanced",10,0.2,0,0.8,11024875.475580009,11361151.65558001,6491349.7,0.5794348873104302,0.648904905108123,2254386.3819199996,43.2,89.1814285714286,26.5,146.4,20.2,95.74014285714307,46
"capital","standard","star12","conservative",10,0.6,0,0.4,5512019.92846,6405015.24846,3320977.4,0.30317428440009875,0.3881459750424238,2368300.950680001,36,87.78057142857133,11.1,44.8,7.8,94.87099999999982,59.5
"low_comp","standard","star12","aggressive",10,0.6,0.1,0.3,23312402.652259998,19911761.112259995,4705039.1,0.3481956819027562,0.8784582649439286,1931192.90526,60.6,88.75999999999988,29.9,342.6,24.5,97.77799999999958,73
"low_comp","standard","star12","balanced",10,0.6,0,0.4,16379709.978439998,16643118.378439998,5738238.4,0.4499076896983861,0.6446083616381835,2291493.7914200006,52.2,88.71828571428571,26,227,16.4,96.51957142857145,66.2
"low_comp","standard","star12","conservative",10,0.6,0,0.4,7877187.519620009,8567554.279620009,3131346.2,0.27526390454961486,0.4192107396343811,2330530.1393599985,40.8,88.15971428571419,11.5,66.7,7.8,94.21542857142835,68.8
"nev_hot","standard","star12","aggressive",10,0.1,0,0.9,15433588.339299977,14496758.519299978,5493978.5,0.47248573261353055,0.7465252259532887,561349.34056,41.4,89.07199999999993,30,253.2,21.4,98.69999999999963,41.4
"nev_hot","standard","star12","balanced",10,0.2,0.1,0.7,10471067.798459984,10340588.798459984,6902071.4,0.6410517841338427,0.7260235894805535,1518698.9579200004,48.8,89.28385714285726,27.3,155.3,22.4,95.26628571428598,52.6
"nev_hot","standard","star12","conservative",10,0.2,0,0.8,4728748.746939993,4968601.066939993,2646216.4,0.27329727084104705,0.37828789322603185,2165749.1216199985,33.4,87.53828571428564,10.8,41.3,7.5,95.23228571428555,38
"tier1","standard","star12","aggressive",10,0.2,0.3,0.5,7171664.157200001,7640012.457200003,7675151.1,0.7683370511562855,0.8726163851409083,1879344.8447599995,51.9,88.63999999999996,29.8,152.3,22.7,98.29314285714267,58.1
"tier1","standard","star12","balanced",10,0.2,0,0.8,8331702.836520001,9870683.53652,7579188.3,0.6940981764870285,0.7182236543960178,2321972.976279998,41.4,87.71442857142861,26.1,121.9,20.1,95.19942857142874,45.8
"tier1","standard","star12","conservative",10,0.3,0,0.7,4214565.896319991,4981975.576319992,3229142,0.31474115557908966,0.38072529773390906,2316874.2949000015,36.7,88.82971428571423,10.9,36,8.2,94.74857142857138,47.8
"capital","hardcore","survive6","aggressive",10,1,0,0,10216893.973870475,6655105.988241961,4091117.1,0.29083429911158654,0.9582711334518954,276529.4763999999,71.8,79.68685714285714,29.7,211.8,22,95.96283142857105,94.9
"capital","hardcore","survive6","balanced",10,0.9,0.1,0,5842081.771919998,5274924.371919997,7228693.8,0.5947217982038204,0.8158114975540833,1358389.1629400002,70.6,79.69314285714286,27.5,106.9,23.4,96.57120000000005,91.6
"capital","hardcore","survive6","conservative",10,0.4,0,0.6,2397567.682019995,2695690.402019995,2879430.4,0.2726241420855153,0.4863458607823482,1304217.3607199981,33.4,79.63689428571429,11.6,24.5,7.9,95.54529142857139,49
