region,difficulty,scenario,strategy,samples,winRate,bankruptcyRate,dismissalRate,avgNetAssets,avgCash,avgLoan,avgCreditUsage,avgSales,avgInventory,avgCsi,avgTrust
"low_comp","rookie","survive6","aggressive",40,1,0,0,19287570.096954998,15301134.151955003,3533833.175,0.19823927238681271,256.4,17.625,95.44435714285663,96.95
"low_comp","rookie","survive6","balanced",40,1,0,0,11912559.089295,10830015.764295,3486605.775,0.22985695831886527,133.575,11.225,97.95125000000009,97
"low_comp","rookie","survive6","conservative",40,0.9,0,0.1,6814166.834519999,6529437.11452,1526539.1,0.12241083277532896,45.175,4.675,95.6520714285713,86.275
"nev_hot","rookie","survive6","aggressive",40,0.925,0.05,0.025,13547173.907690004,9429880.957690004,5026527.45,0.34794093012085703,217.425,19.725,96.2894999999996,91.95
"nev_hot","rookie","survive6","balanced",40,0.95,0,0.05,9564884.01413,7885698.569129998,4345604.075,0.3012782599867413,121.175,13.45,96.81021428571441,92.25
"nev_hot","rookie","survive6","conservative",40,0.7,0,0.3,5013553.299185001,4765768.7441850025,1800948.725,0.16349334584546227,27.95,5.3,95.02978571428562,63.85
"tier1","rookie","survive6","aggressive",40,0.775,0.2,0.025,9676242.865680004,8038959.590680001,6761916.025,0.573513731706614,154.95,24.3,96.34064285714246,85.475
"tier1","rookie","survive6","balanced",40,0.95,0,0.05,10403208.736159995,9581135.696159996,4155585.1,0.3042301565165939,127.55,13.15,96.60382142857158,90.35
"tier1","rookie","survive6","conservative",40,0.675,0,0.325,4418652.762894998,4322595.577894999,2041454.175,0.19636210699977055,19.65,6.55,95.0419285714285,52.05
"capital","standard","survive6","aggressive",40,1,0,0,13220014.843834992,10104929.718835,5246682.375,0.35017737489502754,216.925,22.325,96.17092857142814,96.35
"capital","standard","survive6","balanced",40,0.975,0,0.025,9240404.031260002,8318141.201260006,4858518.85,0.3543036013555306,128.6,15.475,97.53514285714299,93.6
"capital","standard","survive6","conservative",40,0.675,0,0.325,4102548.503759999,4028833.3037599986,2109548.4,0.19701377160600897,29,6.475,94.99314285714277,57.95
"low_comp","standard","survive6","aggressive",40,0.875,0.05,0.075,13658890.008485,10717077.543485,4719272.775,0.36203881798402326,205.05,20.075,96.15249999999963,88.125
"low_comp","standard","survive6","balanced",40,0.975,0,0.025,10468360.839219999,9510713.374220002,4132510.975,0.2531962762953009,144.05,12.225,98.062892857143,98.6
"low_comp","standard","survive6","conservative",40,0.925,0,0.075,5516194.55289,5237065.15789,1488553.625,0.12041447779236777,46.025,4.425,95.17882142857125,85.775
"nev_hot","standard","survive6","aggressive",40,0.925,0.05,0.025,10714090.678365948,6997136.198705511,5710199.880339567,0.3950440338020952,213.425,20.45,95.60871428571387,92.175
"nev_hot","standard","survive6","balanced",40,0.9,0.05,0.05,7915518.071270001,6408602.356270001,5396944.025,0.42948479541761575,127.025,16.275,97.39996428571439,91.05
"nev_hot","standard","survive6","conservative",40,0.675,0,0.325,4225271.42825,3840985.0782500007,2293627.05,0.21317361310257626,32.525,7.125,94.98671428571417,64.75
"tier1","standard","survive6","aggressive",40,0.7,0.3,0,7638028.093624999,6477587.723624999,7776286.25,0.6070593980529251,168.8,24.65,96.15342857142822,89.2
"tier1","standard","survive6","balanced",40,0.95,0,0.05,8362450.680540001,7746301.285539998,5460229.125,0.4371468218867827,125.625,17.125,96.9583571428573,89.9
"tier1","standard","survive6","conservative",40,0.475,0,0.525,3166631.0161850015,3482377.4261850016,2804800.15,0.2788587452620991,18.2,7.85,94.4686428571428,45.45
